Products,Grocery Type,Ratio to 100 Gram,Unit
"Beef stewing cuts, per kilogram",Animal Product,0.1,No
"Beef striploin cuts, per kilogram",Animal Product,0.1,No
"Beef top sirloin cuts, per kilogram",Animal Product,0.1,No
"Beef rib cuts, per kilogram",Animal Product,0.1,No
"Ground beef, per kilogram",Animal Product,0.1,No
"Pork loin cuts, per kilogram",Animal Product,0.1,No
"Pork rib cuts, per kilogram",Animal Product,0.1,No
"Pork shoulder cuts, per kilogram",Animal Product,0.1,No
"Whole chicken, per kilogram",Animal Product,0.1,No
"Chicken breasts, per kilogram",Animal Product,0.1,No
"Chicken thigh, per kilogram",Animal Product,0.1,No
"Chicken drumsticks, per kilogram",Animal Product,0.1,No
"Bacon, 500 grams",Animal Product,0.2,No
"Wieners, 400 grams",Animal Product,0.25,No
"Salmon, per kilogram",Animal Product,0.1,No
"Shrimp, 300 grams",Animal Product,0.3333,No
"Canned salmon, 213 grams",Animal Product,0.4695,No
"Canned tuna, 170 grams",Animal Product,0.5882,No
"Meatless burgers, 226 grams",Animal Product,0.4425,No
"Milk, 1 litre",Dairy,0.1,No
"Milk, 2 litres",Dairy,0.05,No
"Milk, 4 litres",Dairy,0.025,No
"Soy milk, 1.89 litres",Dairy,0.0529,No
"Nut milk, 1.89 litres",Dairy,0.0529,No
"Cream, 1 litre",Dairy,0.1,No
"Butter, 454 grams",Dairy,0.2203,No
"Margarine, 907 grams",Dairy,0.1103,No
"Block cheese, 500 grams",Dairy,0.2,No
"Yogurt, 500 grams",Dairy,0.2,No
"Eggs, 1 dozen",Animal Product,0.1667,No
"Apples, per kilogram",Fruits,0.1,No
"Oranges, per kilogram",Fruits,0.1,No
"Oranges, 1.36 kilograms",Fruits,0.07352,No
"Bananas, per kilogram",Fruits,0.1,No
"Pears, per kilogram",Fruits,0.1,No
"Lemons, unit",Fruits,1.538,Yes
"Limes, unit",Fruits,1.4925,Yes
"Grapes, per kilogram",Fruits,0.1,No
"Cantaloupe, unit",Fruits,0.1229,Yes
"Strawberries, 454 grams",Fruits,0.2203,No
"Avocado, unit",Fruits,0.4651,Yes
"Potatoes, 4.54 kilograms",Vegetables,0.022,No
"Potatoes, per kilogram",Vegetables,0.1,No
"Sweet potatoes, per kilogram",Vegetables,0.1,No
"Tomatoes, per kilogram",Vegetables,0.1,No
"Cabbage, per kilogram",Vegetables,0.1,No
"Carrots, 1.36 kilograms",Vegetables,0.0735,No
"Onions, per kilogram",Vegetables,0.1,No
"Onions, 1.36 kilograms",Vegetables,0.0735,No
"Celery, unit",Vegetables,0.2,Yes
"Cucumber, unit",Vegetables,0.2,Yes
